,type,syllables,word_type,definitions,extras,query,lang,country,termid,title,link,displayed_link,date,snippet,refinements,people_also_search_for,about_this_result,about_page_link,thumbnail,list
0,organic_result,,,,,Infección,es,ES,68,"La infección es la invasión de un anfitrión por un microorganismo patógeno, su multiplicación en los tejidos y la reacción del anfitrión a su presencia y a la de sus posibles toxinas. Las infecciones pueden deberse a bacterias, hongos, protozoos, virus, viroides y priones.","https://es.wikipedia.org/wiki/Infecci%C3%B3n#:~:text=La%20infecci%C3%B3n%20es%20la%20invasi%C3%B3n,%2C%20virus%2C%20viroides%20y%20priones.",https://es.wikipedia.org › wiki › Infección,,"La infección es la invasión de un anfitrión por un microorganismo patógeno, su multiplicación en los tejidos y la reacción del anfitrión a su presencia y a la de sus posibles toxinas. Las infecciones pueden deberse a bacterias, hongos, protozoos, virus, viroides y priones.",,[],,,,
0,organic_result,,,,,Inundación,es,ES,70,"Una inundación es la ocupación por parte del agua de zonas que habitualmente están libres de esta,​ por desbordamiento de ríos, torrentes o ramblas, por lluvias torrenciales, deshielo, por subida de las mareas por encima del nivel habitual, por maremotos, huracanes, entre otros.","https://es.wikipedia.org/wiki/Inundaci%C3%B3n#:~:text=Una%20inundaci%C3%B3n%20es%20la%20ocupaci%C3%B3n,maremotos%2C%20huracanes%2C%20entre%20otros.",https://es.wikipedia.org › wiki › Inundación,,"Una inundación es la ocupación por parte del agua de zonas que habitualmente están libres de esta,​ por desbordamiento de ríos, torrentes o ramblas, por lluvias torrenciales, deshielo, por subida de las mareas por encima del nivel habitual, por maremotos, huracanes, entre otros.",,[],,,,
0,organic_result,,,,,Malnutrition,fr,FR,53,"Par «malnutrition», on entend les carences, les excès ou les déséquilibres dans l'apport énergétique et/ou nutritionnel d'une personne.9 juin 2021","https://www.who.int/fr/news-room/fact-sheets/detail/malnutrition#:~:text=Par%20%C2%ABmalnutrition%C2%BB%2C%20on%20entend,ou%20nutritionnel%20d'une%20personne.",https://www.who.int › ... › Principaux repères › Détail,9 juin 2021,"Par «malnutrition», on entend les carences, les excès ou les déséquilibres dans l'apport énergétique et/ou nutritionnel d'une personne.",,[],,,,
0,organic_result,,,,,Calorie,fr,FR,56,"Une calorie (cal) représente la quantité de chaleur nécessaire pour élever de 1 °C la température de 1 gramme d'eau sous une pression atmosphérique normale. L'unité de mesure officielle internationale de l'énergie est le joule, mais la calorie est très largement utilisée, en particulier en diététique.",https://www.larousse.fr/encyclopedie/medical/calorie/11736,https://www.larousse.fr › encyclopedie › medical › calorie,,"Une calorie (cal) représente la quantité de chaleur nécessaire pour élever de 1 °C la température de 1 gramme d'eau sous une pression atmosphérique normale. L'unité de mesure officielle internationale de l'énergie est le joule, mais la calorie est très largement utilisée, en particulier en diététique.",,[],,,,
0,organic_result,,,,,Énergie renouvelable,fr,FR,58,"Les énergies renouvelables, c'est quoi ? Les énergies renouvelables (EnR) sont alimentées par le soleil, le vent, la chaleur de la terre, les chutes d'eau, les marées… Elles permettent de produire de l'électricité, de la chaleur, du froid, du gaz, du carburant, du combustible.22 oct. 2021","https://www.ecologie.gouv.fr/energies-renouvelables#:~:text=fran%C3%A7aise%20d'%C3%A9lectricit%C3%A9-,Les%20%C3%A9nergies%20renouvelables%2C%20c'est%20quoi%20%3F,%2C%20du%20carburant%2C%20du%20combustible.",https://www.ecologie.gouv.fr › energies-renouvelables,22 oct. 2021,"Les énergies renouvelables, c'est quoi ? Les énergies renouvelables (EnR) sont alimentées par le soleil, le vent, la chaleur de la terre, les chutes d'eau, les marées… Elles permettent de produire de l'électricité, de la chaleur, du froid, du gaz, du carburant, du combustible.",,[],,,,
0,dictionary_results,infection,nom féminin,"['Grande puanteur.', 'Chose qui suscite le dégoût.']",,Infection,fr,FR,68,,,,,,,,,,,
0,organic_result,,,,,Inondation,fr,FR,70,"Inondation. L'inondation est une submersion temporaire, par l'eau, de terres qui ne sont pas submergées en temps normal, quelle qu'en soit l'origine.","https://www.gouvernement.fr/risques/inondation#:~:text=Inondation,'en%20soit%20l'origine.",https://www.gouvernement.fr › risques › inondation,,"Inondation. L'inondation est une submersion temporaire, par l'eau, de terres qui ne sont pas submergées en temps normal, quelle qu'en soit l'origine.",,[],,,https://serpapi.com/searches/627cffffd5ecf45784f4ccf8/images/4c8c3ea9573eccf8155d8ac9c7c646a26c0f97ebc33ec1e5.jpeg,
0,organic_result,,,,,Malnutrición,es,AR,53,"El término «malnutrición» se refiere a las carencias, los excesos y los desequilibrios de la ingesta calórica y de nutrientes de una persona.9 jun 2021","https://www.who.int/es/news-room/fact-sheets/detail/malnutrition#:~:text=El%20t%C3%A9rmino%20%C2%ABmalnutrici%C3%B3n%C2%BB%20se%20refiere,de%20nutrientes%20de%20una%20persona.",https://www.who.int › ... › Notas descriptivas › Detail,9 jun 2021,"El término «malnutrición» se refiere a las carencias, los excesos y los desequilibrios de la ingesta calórica y de nutrientes de una persona.",,[],,,,
0,dictionary_results,caloría,nombre femenino,"['Unidad de energía térmica, de símbolo cal, que equivale a la cantidad de calor necesaria para elevar 1 grado centígrado la temperatura de 1 gramo de agua.', 'Unidad de medida del contenido energético de los alimentos que consiste en el número de calorías que un peso determinado de alimento puede desarrollar en los tejidos, o en el trabajo físico equivalente a ellas.']",,Caloría,es,AR,56,,,,,,,,,,,
0,organic_result,,,,,Energía renovable,es,AR,58,"Se denomina “energías renovables” a aquellas fuentes energéticas basadas en la utilización del sol, el viento, el agua o la biomasa vegetal o animal -entre otras-. Se caracterizan por no utilizar combustibles fósiles –como sucede con las energías convencionales-, sino recursos capaces de renovarse ilimitadamente.","https://www.argentina.gob.ar/economia/energia/energia-electrica/renovables/que-son-las-energias-renovables#:~:text=Se%20denomina%20%E2%80%9Cenerg%C3%ADas%20renovables%E2%80%9D%20a,recursos%20capaces%20de%20renovarse%20ilimitadamente.",https://www.argentina.gob.ar › energia › renovables › que...,,"Se denomina “energías renovables” a aquellas fuentes energéticas basadas en la utilización del sol, el viento, el agua o la biomasa vegetal o animal -entre otras-. Se caracterizan por no utilizar combustibles fósiles –como sucede con las energías convencionales-, sino recursos capaces de renovarse ilimitadamente.",,[],,,https://serpapi.com/searches/627d000e1e803f24a181d85e/images/437f10b191da1738ee2fa6a91e89ec2cd85d9530b297a7dc.png,
0,organic_result,,,,,Contaminación del suelo,es,AR,65,"La contaminación del suelo provoca una reacción en cadena. Altera la biodiversidad del suelo, reduciendo la materia orgánica que contiene y su capacidad para actuar como filtro. También se contamina el agua almacenada en el suelo y el agua subterránea, provocando un desequilibrio de sus nutrientes.2 may 2018","https://www.fao.org/fao-stories/article/es/c/1126977/#:~:text=La%20contaminaci%C3%B3n%20del%20suelo%20provoca,un%20desequilibrio%20de%20sus%20nutrientes.",https://www.fao.org › fao-stories › article,2 may 2018,"La contaminación del suelo provoca una reacción en cadena. Altera la biodiversidad del suelo, reduciendo la materia orgánica que contiene y su capacidad para actuar como filtro. También se contamina el agua almacenada en el suelo y el agua subterránea, provocando un desequilibrio de sus nutrientes.",,[],,,,
0,organic_result,,,,,Gas de efecto invernadero,es,AR,66,"En la atmósfera de la Tierra, los principales gases de efecto invernadero (GEI) son el vapor de agua (H2O), el dióxido de carbono (CO2), el óxido nitroso (N2O), el metano (CH4) y el ozono (O3).",http://www.ideam.gov.co/documents/21021/21138/Gases+de+Efecto+Invernadero+y+el+Cambio+Climatico.pdf,http://www.ideam.gov.co › documents › Gases+de+...,,"En la atmósfera de la Tierra, los principales gases de efecto invernadero (GEI) son el vapor de agua (H2O), el dióxido de carbono (CO2), el óxido nitroso (N2O), el metano (CH4) y el ozono (O3).",,[],,,,
0,dictionary_results,infección,nombre femenino,"['Invasión y multiplicación de agentes patógenos en los tejidos de un organismo.', 'Enfermedad causada por esta invasión de agentes patógenos.']","['epidemia', 'plaga']",Infección,es,AR,68,,,,,,,,,,,
0,organic_result,,,,,Inundación,es,AR,70,Lluvias intensas durante un periodo corto de tiempo en donde se supera la capacidad del suelo de absorber y los ríos empiezan a subir. A causa de fuertes vientos que a veces pueden provocar la crecida de los ríos.,"https://www.argentina.gob.ar/sinagir/riesgos-frecuentes/inundacion#:~:text=Lluvias%20intensas%20durante%20un%20periodo,la%20crecida%20de%20los%20r%C3%ADos.",https://www.argentina.gob.ar › sinagir › inundacion,,Lluvias intensas durante un periodo corto de tiempo en donde se supera la capacidad del suelo de absorber y los ríos empiezan a subir. A causa de fuertes vientos que a veces pueden provocar la crecida de los ríos.,,[],,,,
0,organic_result,,,,,Sequía,es,AR,71,"Las sequías son periodos prolongados de tiempo seco causado por la falta de lluvia, lo que produce escasez de agua. Los periodos de sequía pueden causar desabastecimiento de agua y problemas de salud pública.",https://www.cdc.gov/spanish/nceh/especiales/sequias/index.html,https://www.cdc.gov › spanish › nceh › especiales › sequias,,"Las sequías son periodos prolongados de tiempo seco causado por la falta de lluvia, lo que produce escasez de agua. Los periodos de sequía pueden causar desabastecimiento de agua y problemas de salud pública.",,[],,,,
